"lake","site","date","chla_mgm3_top","DRP_mgm3_bottom","DRP_mgm3_top","NH4_mgm3_bottom","NH4_mgm3_top","NNN_mgm3_bottom","NNN_mgm3_top","secchi_m","TN_mgm3_bottom","TN_mgm3_top","TP_mg_m3_bottom","TP_mgm3_top","turb_NTU_bottom","turb_NTU_top","pH_bottom","pH_top","chla_mgm3_bottom","datetime"
"Rotoehu","3",2008-03-18,6.9,7,2,35,17,1,0.5,3.1,294,356.5,17,22,1.8,2.8,8,8.1,NA,2008-03-17 12:00:00
"Rotoehu","3",2008-04-21,11.8,8,8,17,14,2,1,2.4,352,453,27,25,3,3.2,7.9,8,NA,2008-04-20 12:00:00
"Rotoehu","3",2008-05-20,12.6,3,5,72,7,3,2,2.7,446,373,28,26,2.5,3.4,7.9,8,NA,2008-05-19 12:00:00
"Rotoehu","3",2008-06-20,7.4,0.5,15,3,8,8,0.5,2.7,313,304.5,33,20,3,2.7,7.5,7.8,NA,2008-06-19 12:00:00
"Rotoehu","3",2008-08-05,9.3,3,3,6,13,5,3,3.9,278,279,24,28,1.6,1.8,7.8,7.81,NA,2008-08-04 12:00:00
"Rotoehu","3",2008-08-19,7.3,8,7,7,2,1,0.5,3.9,211,230.5,14,14,1.7,1.6,7.84,7.86,NA,2008-08-18 12:00:00
"Rotoehu","3",2008-09-16,4.4,2,2,11,3,NA,NA,4.4,287,NA,20,20,2.3,2,7.76,8.01,NA,2008-09-15 12:00:00
"Rotoehu","3",2008-10-21,10.4,2,2,5,10,0.5,0.5,3.8,200.5,220.5,18,10,2.6,1.8,7.86,7.92,NA,2008-10-20 12:00:00
"Rotoehu","3",2008-11-18,8.9,NA,NA,NA,NA,2,0.5,3.8,362,280.5,56,29,1.7,1.8,7.74,7.73,NA,2008-11-17 12:00:00
"Rotoehu","3",2008-12-16,13.5,20,22,450,5,3,3,3.2,513,233,240,86,1.5,2.6,7.12,8.17,NA,2008-12-15 12:00:00
"Rotoehu","3",2009-01-13,5,43,18,91,5,2,1,4.3,252,181,82,41,1.9,1.9,7.27,8.42,NA,2009-01-12 12:00:00
"Rotoehu","3",2009-02-17,28.7,42,37,61,33,6.8,4.51,2.3,356.8,424.51,78,85,NA,NA,8.5,8.52,NA,2009-02-16 12:00:00
"Rotoehu","3",2009-03-17,20.4,12,23,18,5,3,2,2.4,233,352,38,54,3.3,5.3,8.08,8.23,NA,2009-03-16 12:00:00
"Rotoehu","3",2009-04-22,5,20,23,5,25,3,3,3.5,243,263,30,28,2.3,3.5,7.9,7.9,NA,2009-04-21 12:00:00
"Rotoehu","3",2009-05-19,5.6,2,5.3,5,5,1,0.5,NA,281,270.5,28,35,2.4,3,7.6,7.6,NA,2009-05-18 12:00:00
"Rotoehu","3",2009-06-22,4,2,4,5,5,1.68,1.56,4.1,201.68,191.56,19,19,1.8,2.2,7.9,7.9,NA,2009-06-21 12:00:00
"Rotoehu","3",2009-07-21,10.4,5.9,5.8,5,5,18,13,3.8,258,283,25,22,1.6,1.9,7.8,7.95,NA,2009-07-20 12:00:00
"Rotoehu","3",2009-08-17,5,2,2,5,5,2,2,3.3,202,192,16,16,1.8,2.5,7.6,7.5,NA,2009-08-16 12:00:00
"Rotoehu","3",2009-09-22,4.6,8.5,2,42,5,5,1,3.8,285,331,21,19,2.1,2.4,7.6,8,NA,2009-09-21 12:00:00
"Rotoehu","3",2009-10-28,5.6,6.8,2,32,24,5,3,3.2,255,263,23,21,1.7,2.7,7.8,7.8,NA,2009-10-27 12:00:00
"Rotoehu","3",2009-11-17,6.7,10,8,71,60,4,5,5.3,408,566,30,50,2.2,3.3,8,8.1,NA,2009-11-16 12:00:00
"Rotoehu","3",2009-12-16,7.7,NA,27.5,0.5,0.5,9,2,2.8,341,334,63,51,NA,4.6,8.1,8.4,NA,2009-12-15 12:00:00
"Rotoehu","3",2010-01-20,10.4,46,38,2,3,2,10,2.5,290,349,70,65,2.6,2.9,8.3,8.6,NA,2010-01-19 12:00:00
"Rotoehu","3",2010-02-17,5.1,92,44,2,7,1,17,3.2,273,286,121,68,2.9,2.6,7.7,8.4,NA,2010-02-16 12:00:00
"Rotoehu","3",2010-03-23,11.1,49,48,3,1,0.5,0.5,2.3,350,340,85,79,5,5.5,8.6,8.6,NA,2010-03-22 12:00:00
"Rotoehu","3",2010-04-21,13,NA,37.5,1,5,2,2,2.2,330,429,67,96,4.3,9.6,8.4,8.4,NA,2010-04-20 12:00:00
"Rotoehu","3",2010-05-18,13.9,25,26,3,3,2,2,2.2,392,366,56,56,5.3,4.1,8.3,8.2,NA,2010-05-17 12:00:00
"Rotoehu","3",2010-06-16,14.6,21,16,2,3,1,1,2.5,357,362,51,54,6.2,5.2,8.2,8.1,NA,2010-06-15 12:00:00
"Rotoehu","3",2010-07-20,3.9,NA,14.5,11,3,3,1,3.8,214,263,32,37,1.4,1.9,7.9,7.8,NA,2010-07-19 12:00:00
"Rotoehu","3",2010-08-17,7,5.5,5.5,4,3,2,3,4.1,210,220,19.4,22.4,2.2,2.2,8,7.8,NA,2010-08-16 12:00:00
"Rotoehu","3",2010-09-27,5,0,0,1,2,0.5,0.5,3.2,200,200,8.7,9.7,2.6,2.7,7.8,7.8,NA,2010-09-26 12:00:00
"Rotoehu","3",2010-10-19,5.2,NA,0.9,7,3,4,3,3.8,210,260,13.6,17.5,1.3,2.4,7.8,7.8,NA,2010-10-18 12:00:00
"Rotoehu","3",2010-11-16,5.1,NA,0,5,4,2,2,3.3,290,240,16.5,11.6,2.2,2,8,7.9,NA,2010-11-15 12:00:00
"Rotoehu","3",2010-12-14,3.9,3.6,0,30,12,4,2,2.4,250,240,16.5,17.5,1.9,2.2,8.2,8.6,NA,2010-12-13 12:00:00
"Rotoehu","3",2011-01-18,8.7,25.2,0,104,6,5,2,2.6,350,340,44.8,20.4,1.5,3,7.3,8.4,NA,2011-01-17 12:00:00
"Rotoehu","3",2011-02-15,3.2,NA,9.25,78,5,13,9,4.9,312,258,32.1,18.5,1.6,2.2,7.5,8.3,NA,2011-02-14 12:00:00
"Rotoehu","3",2011-03-25,9.3,5.5,5.5,15,11,9,10,3.2,293,323,27.3,27.3,2.6,2.5,8,7.9,NA,2011-03-24 12:00:00
"Rotoehu","3",2011-04-20,7.1,NA,4.1,11,5,7,4,3.1,261,300,20.4,21.4,2.6,3.5,7.5,7.9,NA,2011-04-19 12:00:00
"Rotoehu","3",2011-05-23,12.8,0,0.8,3,4,6,2,3.1,270,360,17.5,22.4,3.1,3.8,7.9,7.6,NA,2011-05-22 12:00:00
"Rotoehu","3",2011-06-20,6.9,0.8,5.5,8,9,47,38,5.6,298,376,16.5,51.7,2,2.8,7.7,7.7,NA,2011-06-19 12:00:00
"Rotoehu","3",2011-07-19,6.1,0.8,2.7,13,4,72,83,5.4,311,277,17.5,13.6,0.84,1,NA,7.6,NA,2011-07-18 12:00:00
